Time,MeanN,ErrorMn,CV2N,ErrorCV2
2.3199999999999945,5.024,0.11925349614145375,0.14617035680960686,0.020396117921620615
2.3299999999999943,5.058,0.11959582324218854,0.14504097271961575,0.020211794909121256
2.339999999999994,5.103,0.12033091842227961,0.14425127307890537,0.020083096443772822
2.349999999999994,5.139,0.12070334193054144,0.1431191282805037,0.019898856872520323
2.3599999999999937,5.178,0.12131870600477068,0.14241239006098982,0.01978400620054725
2.369999999999993,5.213,0.12178352580977325,0.14158523477638887,0.019649743828899773
2.379999999999993,5.237,0.12164417922182214,0.13996963994497372,0.01938799365980308
2.389999999999993,5.274,0.12240378864677481,0.13974162788553948,0.019351104736784988
2.399999999999993,5.309,0.12275904461730036,0.1387068398797239,0.01918385501367001
2.4099999999999926,5.341,0.1239340625564136,0.13968589175714843,0.019342089444707125
2.4199999999999924,5.377,0.1239053206666858,0.13775779016481285,0.019030698997637693
2.429999999999992,5.42,0.12496981215158698,0.13792023529091382,0.019056898056025215
2.439999999999992,5.462,0.1262427001966735,0.13858795518211042,0.019164657212506767
2.449999999999992,5.498,0.12666092782491578,0.1376867622486751,0.0190192457418491
2.4599999999999915,5.526,0.12713673252469526,0.13732090552357437,0.0189602714481314
2.4699999999999918,5.564,0.12765986903302462,0.13656860551113992,0.01883911047752529
2.479999999999991,5.596,0.12833564720717305,0.13644434066812758,0.018819110875859427
2.489999999999991,5.627,0.1286818961103986,0.13567424116548935,0.018695255625980695
2.4999999999999907,5.658,0.12932677937627624,0.1355399643719338,0.01867367524948917
2.5099999999999905,5.699,0.12955552739038367,0.1340697833628979,0.018437693951180542
2.5199999999999902,5.733,0.13061208469632035,0.13465397161293105,0.01853139716613482
2.52999999999999,5.767,0.13106872421302285,0.13400301500777745,0.018426989913686437
2.53999999999999,5.804,0.13178542492062206,0.1337507676684869,0.018386560891428726
2.5499999999999896,5.852,0.13223090015559524,0.13245659977321667,0.018179393634715234
2.5599999999999894,5.89,0.13292583684868475,0.13213094623848082,0.018127331417869097
2.569999999999989,5.937,0.13352087194212015,0.1312141133578505,0.01798090385853232
2.579999999999989,5.969,0.13396771207796299,0.13068130165232714,0.017895907935178278
2.5899999999999888,6.011,0.13481155298228487,0.13048995933562826,0.01786540225624745
2.5999999999999885,6.055,0.13559693945102858,0.13010314888092295,0.017803762040634493
